pl_name,hostname,disc_year,discoverymethod,pl_orbper,sy_dist,pl_rade,pl_eqt,ra,dec
Kepler-41 b,Kepler-41,2011,Transit,1.85555754,1093.08,10.5,,294.5132465,45.9816453
Kepler-1339 b,Kepler-1339,2016,Transit,1.341555127,371.049,1.08,1967.0,283.7457695,48.373469
Kepler-1237 b,Kepler-1237,2016,Transit,,1064.31,2.518,,295.6292745,44.6905815
TOI-216.01,TOI-216,2019,Transit,34.5073,177.945,,,73.9800129,-63.2603301
Kepler-42 b,Kepler-42,2011,Transit,1.2137672,40.0595,0.78,519.0,292.2196,44.6173667
Kepler-1951 b,Kepler-1951,2021,Transit,20.6577602,1277.32,0.88,624.0,290.4999139,40.2877161
Kepler-1408 b,Kepler-1408,2016,Transit,2.99792926,535.048,1.12,1616.0,282.6998783,45.4257884
K2-98 b,K2-98,2016,Transit,10.136,518.625,,,126.4882114,11.5110933
HD 159868 b,HD 159868,2006,Radial Velocity,1178.40002,55.8503,,,264.7466665,-43.1462347
Kepler-1356 b,Kepler-1356,2016,Transit,0.634002937,845.228,1.45,1718.0,290.9953825,43.2438792
Kepler-1050 b,Kepler-1050,2016,Transit,15.3787546,490.488,1.6,,282.9249847,48.6264015
Kepler-377 b,Kepler-377,2014,Transit,12.5094525,823.804,1.491,,295.4220717,38.7356737
Kepler-1689 b,Kepler-1689,2020,Transit,8.48293296,294.122,0.815,,291.5741663,38.6559433
Kepler-220 c,Kepler-220,2014,Transit,9.03419765,171.109,,,291.5060432,46.8956262
WASP-8 b,WASP-8,2010,Transit,8.15872562,89.9606,,,359.9008737,-35.0313349
KMT-2022-BLG-1013L b,KMT-2022-BLG-1013L,2023,Microlensing,,7710.0,,,264.70925,-28.3556694
HD 95089 c,HD 95089,2018,Radial Velocity,1785.0,136.957,,,164.698748,1.7290087
KOI-1833 d,Kepler-968,2021,Transit,7.684334874,290.324,1.95,586.0,285.6025889,50.1120401
Kepler-1182 b,Kepler-1182,2016,Transit,11.17394617,1545.39,2.05,796.0,296.3079895,43.8213706
Kepler-228 d,Kepler-228,2014,Transit,11.0943544336,1644.61,,,296.2860853,48.2246328
Kepler-1166 b,Kepler-1166,2016,Transit,33.2406882,634.906,1.69,,290.3484956,50.9028387
Kepler-976 b,Kepler-976,2016,Transit,105.9564148,1012.41,3.96,,289.8696232,46.7296855
Kepler-1983 b,Kepler-1983,2023,Transit,7.32851947,424.428,,,297.042015,39.9121864
Kepler-975 b,Kepler-975,2016,Transit,1.9703213,426.088,1.5,1042.0,290.54851,38.4952415
K2-180 b,K2-180,2018,Transit,8.867259,203.896,4.4,,126.4643579,10.246577
Kepler-272 b,Kepler-272,2014,Transit,,889.608,1.871,,299.1275257,47.5938319
HIP 41378 b,HIP 41378,2016,Transit,15.5712,106.289,2.9,,126.6158279,10.0803708
HIP 41378 c,HIP 41378,2016,Transit,31.6978,106.289,2.56,,126.6158279,10.0803708
Kepler-620 b,Kepler-620,2016,Transit,12.91385906,1355.28,,,291.1593939,51.3348228
WASP-75 b,WASP-75,2013,Transit,2.4841976,294.001,,,342.3858995,-10.6754686
Kepler-870 b,Kepler-870,2016,Transit,21.35870629,1259.46,,,295.4025625,50.4785992
Kepler-152 c,Kepler-152,2014,Transit,88.2553729,441.09,2.96,326.0,286.8653826,41.9889571
Kepler-729 b,Kepler-729,2016,Transit,,1921.15,5.045,,286.3600604,45.4142664
HD 175607 b,HD 175607,2015,Radial Velocity,29.01,40.3303,,,285.2742901,-66.1943379
Kepler-1922 b,Kepler-1922,2021,Transit,13.2226208,1344.29,1.47,740.0,292.3303706,37.9970696
HD 109749 b,HD 109749,2005,Radial Velocity,5.239891,63.0821,,,189.3173489,-40.8121458
WASP-20 b,WASP-20,2015,Transit,4.8996284,211.877,16.388,1379.0,5.1605621,-23.9357894
TOI-677 b,TOI-677,2020,Transit,11.2366063,141.812,,,144.1193594,-50.4630933
HD 39194 d,HD 39194,2021,Radial Velocity,33.91,26.4131,,,86.129071,-70.1382377
Kepler-157 c,Kepler-157,2014,Transit,13.5405,773.713,2.24,,291.0972257,38.8756049
Kepler-1668 b,Kepler-1668,2020,Transit,15.43400996,1335.64,,,297.3523076,46.0959309
Kepler-1670 b,Kepler-1670,2020,Transit,20.4998763,2065.98,2.8,731.0,290.3264599,43.121755
K2-108 b,K2-108,2017,Transit,4.73360988,477.295,,,123.3818484,16.419516
K2-121 b,K2-121,2017,Transit,5.186,169.398,,,126.9366624,17.5793267
EPIC 211945201 b,EPIC 211945201,2018,Transit,19.492132,181.69,6.0,,136.5741931,19.4020565
Kepler-377 b,Kepler-377,2014,Transit,12.5094525,823.804,1.16,810.0,295.4220717,38.7356737
Kepler-260 c,Kepler-260,2014,Transit,76.0498163,627.365,1.75,372.0,291.9259658,38.0140525
Kepler-1112 b,Kepler-1112,2016,Transit,14.36267939,1671.28,2.55,935.0,296.9687937,47.7514799
TOI-4791 b,TOI-4791,2023,Transit,4.2809767,328.802,13.0113,1279.0,109.3883818,-19.8289392
Kepler-623 b,Kepler-623,2016,Transit,9.07098164,737.702,2.94,825.0,296.9867284,47.4773531
Kepler-1447 b,Kepler-1447,2016,Transit,56.6747285,890.296,2.84,468.0,289.6434285,50.727016
Kepler-969 b,Kepler-969,2016,Transit,34.1731968935,390.354,,,288.3724989,47.9335642
Kepler-445 b,Kepler-445,2015,Transit,,127.201,0.576,,298.7363395,46.4991236
Kepler-172 e,Kepler-172,2014,Transit,35.1188577,828.592,,,283.3684093,41.821839
MOA-2008-BLG-379L b,MOA-2008-BLG-379L,2013,Microlensing,,3300.0,,,269.706,-30.1969306
HATS-52 b,HATS-52,2017,Transit,1.36665436,555.134,15.490838,1834.0,140.0875894,-31.2692116
